Pattern,X1,X2,X3,X4,X5,X6,X7,
2444445,Venus,None,None,None,None,None,Jupiter,2444442
3111114,Mars,Earth,Earth,Earth,Earth,Earth,None,3111111
3111115,Mars,Earth,Earth,Earth,Earth,Earth,Jupiter,3111112
3111124,Mars,Earth,Earth,Earth,Earth,Venus,None,3111121
3111125,Mars,Earth,Earth,Earth,Earth,Venus,Jupiter,3111122
3111134,Mars,Earth,Earth,Earth,Earth,Mars,None,3111131
3111135,Mars,Earth,Earth,Earth,Earth,Mars,Jupiter,3111132
3111144,Mars,Earth,Earth,Earth,Earth,None,None,3111141
3111145,Mars,Earth,Earth,Earth,Earth,None,Jupiter,3111142
3111214,Mars,Earth,Earth,Earth,Venus,Earth,None,3111211
3111215,Mars,Earth,Earth,Earth,Venus,Earth,Jupiter,3111212
3111224,Mars,Earth,Earth,Earth,Venus,Venus,None,3111221
3111225,Mars,Earth,Earth,Earth,Venus,Venus,Jupiter,3111222
3111234,Mars,Earth,Earth,Earth,Venus,Mars,None,3111231
3111235,Mars,Earth,Earth,Earth,Venus,Mars,Jupiter,3111232
3111244,Mars,Earth,Earth,Earth,Venus,None,None,3111241
3111245,Mars,Earth,Earth,Earth,Venus,None,Jupiter,3111242
3111314,Mars,Earth,Earth,Earth,Mars,Earth,None,3111311
3111315,Mars,Earth,Earth,Earth,Mars,Earth,Jupiter,3111312
3111324,Mars,Earth,Earth,Earth,Mars,Venus,None,3111321
3111325,Mars,Earth,Earth,Earth,Mars,Venus,Jupiter,3111322
3111334,Mars,Earth,Earth,Earth,Mars,Mars,None,3111331
3111335,Mars,Earth,Earth,Earth,Mars,Mars,Jupiter,3111332
3111344,Mars,Earth,Earth,Earth,Mars,None,None,3111341
3111345,Mars,Earth,Earth,Earth,Mars,None,Jupiter,3111342
3111414,Mars,Earth,Earth,Earth,None,Earth,None,3111411
3111415,Mars,Earth,Earth,Earth,None,Earth,Jupiter,3111412
3111424,Mars,Earth,Earth,Earth,None,Venus,None,3111421
3111425,Mars,Earth,Earth,Earth,None,Venus,Jupiter,3111422
3111434,Mars,Earth,Earth,Earth,None,Mars,None,3111431
3111435,Mars,Earth,Earth,Earth,None,Mars,Jupiter,3111432
3111444,Mars,Earth,Earth,Earth,None,None,None,3111441
3111445,Mars,Earth,Earth,Earth,None,None,Jupiter,3111442
3112114,Mars,Earth,Earth,Venus,Earth,Earth,None,3112111
3112115,Mars,Earth,Earth,Venus,Earth,Earth,Jupiter,3112112
3112124,Mars,Earth,Earth,Venus,Earth,Venus,None,3112121
3112125,Mars,Earth,Earth,Venus,Earth,Venus,Jupiter,3112122
3112134,Mars,Earth,Earth,Venus,Earth,Mars,None,3112131
3112135,Mars,Earth,Earth,Venus,Earth,Mars,Jupiter,3112132
3112144,Mars,Earth,Earth,Venus,Earth,None,None,3112141
3112145,Mars,Earth,Earth,Venus,Earth,None,Jupiter,3112142
3112214,Mars,Earth,Earth,Venus,Venus,Earth,None,3112211
3112215,Mars,Earth,Earth,Venus,Venus,Earth,Jupiter,3112212
3112224,Mars,Earth,Earth,Venus,Venus,Venus,None,3112221
3112225,Mars,Earth,Earth,Venus,Venus,Venus,Jupiter,3112222
3112234,Mars,Earth,Earth,Venus,Venus,Mars,None,3112231
3112235,Mars,Earth,Earth,Venus,Venus,Mars,Jupiter,3112232
3112244,Mars,Earth,Earth,Venus,Venus,None,None,3112241
3112245,Mars,Earth,Earth,Venus,Venus,None,Jupiter,3112242
3112314,Mars,Earth,Earth,Venus,Mars,Earth,None,3112311
3112315,Mars,Earth,Earth,Venus,Mars,Earth,Jupiter,3112312
3112324,Mars,Earth,Earth,Venus,Mars,Venus,None,3112321
3112325,Mars,Earth,Earth,Venus,Mars,Venus,Jupiter,3112322
3112334,Mars,Earth,Earth,Venus,Mars,Mars,None,3112331
3112335,Mars,Earth,Earth,Venus,Mars,Mars,Jupiter,3112332
3112344,Mars,Earth,Earth,Venus,Mars,None,None,3112341
3112345,Mars,Earth,Earth,Venus,Mars,None,Jupiter,3112342
3112414,Mars,Earth,Earth,Venus,None,Earth,None,3112411
3112415,Mars,Earth,Earth,Venus,None,Earth,Jupiter,3112412
3112424,Mars,Earth,Earth,Venus,None,Venus,None,3112421
3112425,Mars,Earth,Earth,Venus,None,Venus,Jupiter,3112422
3112434,Mars,Earth,Earth,Venus,None,Mars,None,3112431
3112435,Mars,Earth,Earth,Venus,None,Mars,Jupiter,3112432
3112444,Mars,Earth,Earth,Venus,None,None,None,3112441
3112445,Mars,Earth,Earth,Venus,None,None,Jupiter,3112442
3113114,Mars,Earth,Earth,Mars,Earth,Earth,None,3113111
3113115,Mars,Earth,Earth,Mars,Earth,Earth,Jupiter,3113112
3113124,Mars,Earth,Earth,Mars,Earth,Venus,None,3113121
3113125,Mars,Earth,Earth,Mars,Earth,Venus,Jupiter,3113122
3113134,Mars,Earth,Earth,Mars,Earth,Mars,None,3113131
3113135,Mars,Earth,Earth,Mars,Earth,Mars,Jupiter,3113132
3113144,Mars,Earth,Earth,Mars,Earth,None,None,3113141
3113145,Mars,Earth,Earth,Mars,Earth,None,Jupiter,3113142
3113214,Mars,Earth,Earth,Mars,Venus,Earth,None,3113211
3113215,Mars,Earth,Earth,Mars,Venus,Earth,Jupiter,3113212
3113224,Mars,Earth,Earth,Mars,Venus,Venus,None,3113221
3113225,Mars,Earth,Earth,Mars,Venus,Venus,Jupiter,3113222
3113234,Mars,Earth,Earth,Mars,Venus,Mars,None,3113231
3113235,Mars,Earth,Earth,Mars,Venus,Mars,Jupiter,3113232
3113244,Mars,Earth,Earth,Mars,Venus,None,None,3113241
3113245,Mars,Earth,Earth,Mars,Venus,None,Jupiter,3113242
3113314,Mars,Earth,Earth,Mars,Mars,Earth,None,3113311
3113315,Mars,Earth,Earth,Mars,Mars,Earth,Jupiter,3113312
3113324,Mars,Earth,Earth,Mars,Mars,Venus,None,3113321
3113325,Mars,Earth,Earth,Mars,Mars,Venus,Jupiter,3113322
3113334,Mars,Earth,Earth,Mars,Mars,Mars,None,3113331
3113335,Mars,Earth,Earth,Mars,Mars,Mars,Jupiter,3113332
3113344,Mars,Earth,Earth,Mars,Mars,None,None,3113341
3113345,Mars,Earth,Earth,Mars,Mars,None,Jupiter,3113342
3113414,Mars,Earth,Earth,Mars,None,Earth,None,3113411
3113415,Mars,Earth,Earth,Mars,None,Earth,Jupiter,3113412
