t_depart [mjd2000],t_arrive [mjd2000],DV [km/s],champ_inter,champ_plan
11467.982292324155,15190.260579624452,4.109399660947625,"[1.14679823e+04 3.28500000e+03 8.91481322e-01 5.33596734e-01
 4.74785149e-01 7.51940927e-02]",[  1.85         0.46432226 437.2782873 ]
11467.982292324155,15190.188087389775,5.789770832268796,"[1.14679823e+04 3.31017241e+03 8.49535917e-01 3.26385194e-01
 1.28560525e-01 1.10342711e-01]",[  1.77498643   0.46226161 412.03338127]
11467.982292324155,15222.169951270567,18.38174221441491,"[1.14679823e+04 3.33534483e+03 4.27299533e-01 3.02317125e-01
 4.11021236e-01 3.47022911e-02]",[  1.80444629   0.47378342 418.84283136]
11467.982292324155,15222.062959492512,4.009160195267069,"[1.14679823e+04 3.36051724e+03 9.13948544e-01 6.23456313e-01
 5.66561985e-01 1.31377107e-01]",[  1.73098024   0.47425309 393.56342579]
11467.982292324155,15254.044296277814,4.361605587697942,"[1.14679823e+04 3.38568966e+03 9.47777872e-01 7.63330494e-01
 7.20078722e-01 3.05978453e-01]",[  1.75144564   0.47503381 400.37234878]
11467.982292324155,15301.834131361567,4.030320934047237,"[1.14679823e+04 3.41086207e+03 8.52605947e-01 4.34464598e-01
 3.65584578e-01 2.56186092e-02]",[  1.81831882   0.47567198 422.98977007]
11467.982292324155,15333.71850730172,4.091856080110967,"[1.14679823e+04 3.43603448e+03 8.69169622e-01 4.78179681e-01
 4.11620254e-01 3.78640154e-02]",[  1.83778743   0.47507631 429.70173222]
11467.982292324155,15365.67803569616,4.148051061769836,"[1.14679823e+04 3.46120690e+03 8.96187703e-01 5.73976960e-01
 5.08569708e-01 8.12660492e-02]",[  1.85         0.46826896 436.48884682]
11467.982292324155,15349.624854393975,4.2396773383074216,"[1.14679823e+04 3.48637931e+03 8.79686227e-01 5.24521089e-01
 4.55085586e-01 5.25199450e-02]",[  1.73628592   0.47558738 395.26325172]
11467.982292324155,15397.545070275739,4.188728011701578,"[1.14679823e+04 3.51155172e+03 8.39160668e-01 4.03948596e-01
 3.33965143e-01 1.54218998e-02]",[  1.80541893   0.48620994 418.01105381]
