case_no,sequence,total_DV,DV_inter,DV_plan,t_depart,t_arrive,tof,t_inter,t_plan,champ_inter,champ_plan
1,EVMVVVJS,12996.931885675649,9250.025950942087,3746.9059347335624,2031-May-14 22:48:31.464689,2042-Mar-14 12:06:03.732017,3956.5538456866675,3588.415916883505,368.1379288031625,"[11456.950364174641, 0.08259195314234302, 0.06025719291501033, 0.06742807934931261, 0.1896205070144651, 0.24286488104077258, 0.4807785182245521, 0.93412703081313]","[1.65, 0.47228242102982576, 368.1379288031625]"
2,EVMVVMES,11481.240952951863,9013.691483761597,2467.549469190266,2032-Nov-10 02:19:28.184334,2043-Dec-12 09:26:44.488014,4049.2967164777738,3647.483975731234,401.8127407465401,"[12002.096853985344, 0.03944504221699089, 0.08503503435076987, 0.04233751407301534, 0.13876996908567457, 0.22263949243404083, 0.08994779711147541, 0.9986557660512305]","[1.7544138592703145, 0.4727676221527732, 401.8127407465401]"
3,EVMVVMEJS,12081.600635281793,7351.820632906239,4729.780002375554,2031-Feb-26 08:51:41.339797,2042-Feb-26 13:48:31.889947,4018.2061406267335,3649.3545926072607,368.8515480194727,"[11379.369228469875, 0.116777691286164, 0.03731434908394488, 0.18424513940055676, 0.24269570961922882, 0.06479662578479403, 0.3399992868772893, 0.46054397943336345, 0.9989890028277795]","[1.65, 0.4697195438486352, 368.8515480194727]"
4,EVMVVMVS,11843.802401575253,7603.164193384767,4240.638208190486,2030-Jan-26 00:20:35.428774,2041-Feb-24 22:16:03.005516,4047.9135136197015,3648.8819744650464,399.031539154655,"[10983.014298944143, 0.10734809016308555, 0.19817092281318377, 0.0975632434886674, 0.3513518191404601, 0.21846009624226445, 0.1675509334458826, 0.9988762748255662]","[1.6863810279794764, 0.38200085734156264, 399.031539154655]"
5,EVMVVMVJS,11722.3787253758,7304.586838662111,4417.791886713689,2032-Jul-15 12:53:33.094573,2043-Jul-21 21:16:35.098575,4023.349328750025,3649.383908875655,373.9654198743702,"[11884.537188594591, 0.12914517452058868, 0.19081113711125947, 0.12422131930643743, 0.3486309201308857, 0.10639943680535494, 0.2055784235983618, 0.4546481762222192, 0.9989154147702969]","[1.65, 0.4441524791582574, 373.9654198743702]"
6,EVMVVMMS,19503.49865472276,16393.958476413576,3109.540178309184,2031-Jun-20 22:17:18.760723,2042-Jun-18 03:04:23.650963,4015.1993621555575,3648.644755709329,366.55460644622866,"[11493.92868936022, 0.04984654377680673, 0.16448381717766952, 0.10574231042326347, 0.16760086050506545, 0.29976204511549376, 0.14676143717084947, 0.9989483634420854]","[1.65, 0.4802078697024677, 366.55460644622866]"
7,EVMVVMMJS,17237.875525746702,13318.314512467761,3919.5610132789407,2031-Jun-29 14:27:26.585202,2042-Jul-04 04:13:38.937197,4022.5737540740174,3649.2620997774006,373.3116542966169,"[11502.602391032427, 0.046330641845475716, 0.1652905650386489, 0.1048697464015044, 0.1676694190537287, 0.2896532065403811, 0.10265762052142938, 0.4692195291546299, 0.9989924978078562]","[1.65, 0.44771067452397373, 373.3116542966169]"
8,EVMVVMS,12879.773246952462,10300.043337974977,2579.7299089774842,2032-Apr-18 20:15:16.143520,2043-Apr-17 02:37:35.415609,4015.265500834364,3648.2540627131903,367.0114381211736,"[11796.843936846295, 0.17881575674529623, 0.08014649514320818, 0.2527838579451186, 0.18668013039431372, 0.09221471910722555, 0.9988521484206829]","[1.65, 0.48310075884660025, 367.0114381211736]"
9,EVMVVMJS,8399.704475642531,5488.20447472303,2911.500000919501,2032-May-16 09:47:06.095342,2043-Jun-19 21:23:58.452574,4051.4839393198104,3642.559814409086,408.9241249107246,"[11824.40770943683, 0.17303107226748085, 0.04477801403762193, 0.19705645442317332, 0.27202383592632534, 0.06793881892560726, 0.40538707689863857, 0.9920344371736485]","[1.7677917440731028, 0.4647229035608834, 408.9241249107246]"
10,EVMVVS,7410.118850726237,4808.438306756839,2601.680543969398,2030-Jan-17 02:33:30.699800,2040-Jun-30 14:12:52.307630,3817.4856667572944,3428.0164311418953,389.4692356153991,"[10974.106605321755, 0.04669062172577843, 0.0445764915842459, 0.09527525400485745, 0.35120963255989796, 0.8862432138679732]","[1.7152171341428084, 0.4699049641962436, 389.4692356153991]"
11,EVMVVJS,6416.1224797457435,3385.374128617604,3030.7483511281393,2032-Apr-25 09:45:45.434061,2043-Apr-01 04:22:28.150820,3992.775494406937,3563.3054696547656,429.4700247521714,"[11803.406775857187, 0.1775474303862724, 0.08313580647585705, 0.0596188990308254, 0.2843929635766373, 0.446039049754149, 0.9155061083988728]","[1.825395754877468, 0.46155015580070624, 429.4700247521714]"
12,EVMVMEES,10147.583873549662,7011.055190866191,3136.528682683471,2031-Jul-01 23:28:54.139779,2042-Jun-18 03:35:37.090039,4004.171330442816,3612.2222110515427,391.94911939127337,"[11504.978404395595, 0.04661129779784449, 0.16526705330202845, 0.09997632030933885, 0.19717669516616287, 0.05740676342283365, 0.3254577954620898, 0.9716913759197012]","[1.7131549765504597, 0.459309350919374, 391.94911939127337]"
13,EVMVMEEJS,14149.31021366687,6711.1408377306625,7438.169375936207,2030-Jun-06 01:31:35.324125,2041-Aug-03 13:33:29.913238,4076.501326262879,3649.5006303597497,427.0006959031293,"[11114.063603288485, 0.18785714024514596, 0.044815431289180994, 0.19261856274251235, 0.0667864045888769, 0.15040439110541065, 0.4761622045857184, 0.47405534507008595, 0.9989999986401346]","[1.65, 0.26212860111208913, 427.0006959031293]"
14,EVMVMEVS,13945.983478945138,8517.210345127225,5428.773133817913,2032-Mar-28 22:55:47.302110,2043-Apr-17 08:45:49.765098,4036.409750729027,3649.115469064358,387.29428166466926,"[11775.955408589232, 0.19746648363139668, 0.13707507776178596, 0.17746049776779252, 0.08310743912007496, 0.11142934906202742, 0.4779994317030851, 0.9989996641864654]","[1.65, 0.3797737630116784, 387.29428166466926]"
