case_no,global_algo,local_algo,DV,tof,time_taken,champion
54,SEA,NLOPT-MMA,16353.260533150426,1104.3339885518467,1.444777,"[-1.08997971e+03  2.94503797e-01  8.96414391e-02  3.70353843e-02
  2.85187702e-01  7.23416378e-01]"
55,SGA,COMPASS,14722.038837435168,1470.101923260164,0.529246,"[-7.70942836e+02  3.20593621e-02  2.11647691e-01  2.53280002e-02
  2.67179545e-01  8.09953641e-01]"
56,SGA,NLOPT-BOBYQA,16975.006408424204,1549.0141739080518,0.573519,"[-9.38728157e+02  1.78493815e-01  7.55038276e-02  2.73733207e-01
  3.26167114e-01  9.86808216e-01]"
57,SGA,NLOPT-PRAXIS,16816.40676770854,1440.4200033292027,0.734002,"[-1.04689022e+03  1.98357805e-01  2.34202844e-01  1.88258497e-01
  3.36711994e-01  9.84643235e-01]"
58,SGA,NLOPT-COBYLA,25174.170693008156,1365.174098217964,1.375516,"[-9.21485236e+02  2.31559634e-01  8.24419008e-02  2.46218707e-01
  2.82579428e-01  7.76194522e-01]"
59,SGA,NLOPT-SLSQP,19914.081502927333,1507.0630555454372,0.605558,"[-7.88955967e+02  6.86289338e-02  1.03758100e-02  1.54478901e-01
  3.36693248e-01  8.42159754e-01]"
60,SGA,NLOPT-MMA,25517.038665670087,1397.9158540474514,0.591082,"[-1.02262991e+03  1.99023474e-01  2.32052414e-01  1.95031359e-01
  3.25923459e-01  9.04777951e-01]"
61,SA,COMPASS,5074.294500650553,1568.7526426389377,5.236317,"[-7.99349994e+02  7.69971293e-02  1.73185197e-01  3.61551758e-02
  2.71301946e-01  9.01569412e-01]"
62,SA,NLOPT-BOBYQA,5506.75335231519,1668.4390574699532,5.743569,"[-7.90561597e+02  1.16806032e-01  1.55432731e-01  1.62700501e-02
  2.72014313e-01  9.69299331e-01]"
63,SA,NLOPT-PRAXIS,6064.4562218328865,1145.0333407195044,5.836251,"[-8.10751887e+02  7.49207886e-02  1.85960237e-01  3.06048777e-02
  2.44722732e-01  6.05180556e-01]"
64,SA,NLOPT-COBYLA,5225.754518882299,1482.5350649065715,5.310708,"[-1.01601493e+03  2.03776186e-01  1.51977600e-01  3.93297611e-02
  3.01921680e-01  9.98719120e-01]"
65,SA,NLOPT-SLSQP,4506.782170152406,1351.7576055500103,5.198731,"[-7.81582299e+02  7.59017192e-02  1.82011600e-01  2.14405284e-02
  2.54001757e-01  7.34213265e-01]"
66,SA,NLOPT-MMA,5893.206194788604,1268.353127412421,5.851323,"[-1.01879292e+03  2.04362803e-01  1.52066087e-01  4.01522659e-02
  2.87192115e-01  8.15545270e-01]"
67,ABC,COMPASS,28279.6854697899,1056.9227736916591,0.951321,"[-9.26706490e+02  9.79139411e-02  2.64592548e-01  1.76783268e-01
  2.39505619e-01  5.02680581e-01]"
68,ABC,NLOPT-BOBYQA,19691.89799229504,1041.3870778344906,0.73837,"[-1.06203919e+03  1.14106064e-01  1.96772783e-01  2.97563286e-01
  2.73336590e-01  5.63259676e-01]"
69,ABC,NLOPT-PRAXIS,22979.808778320097,899.0915902381984,0.644584,"[-9.44499966e+02  9.09690636e-02  2.44910299e-01  2.09223874e-02
  2.35085703e-01  4.89228047e-01]"
70,ABC,NLOPT-COBYLA,20312.283646095653,1532.1276197852271,0.700648,"[-9.66673911e+02  9.29673068e-02  7.74872499e-02  1.60599609e-01
  3.17468941e-01  9.99000000e-01]"
