case_no,global_algo,local_algo,DV,tof,time_taken,champion
33,IHS,NLOPT-PRAXIS,17671.800123879555,1976.207078693008,3.289473,"[-7.63106953e+02  5.10891486e-02  1.63738072e-01  1.98626400e-01
  2.51028956e-01  9.91841442e-01]"
34,IHS,NLOPT-COBYLA,12761.29741351966,1830.9437517276083,3.160407,"[-7.84199549e+02  6.57876263e-02  1.66693443e-01  2.33036548e-02
  2.64285756e-01  9.12336120e-01]"
35,IHS,NLOPT-SLSQP,18909.85472698701,1740.6077706537376,3.65538,"[-9.64533328e+02  1.74421087e-01  1.90776127e-01  1.38707983e-01
  3.03860371e-01  9.59276801e-01]"
36,IHS,NLOPT-MMA,15967.364204843148,1834.2238471648202,3.135109,"[-7.88337923e+02  6.33748610e-02  1.68657850e-01  1.98354102e-01
  2.75631303e-01  8.97510546e-01]"
37,PSO,COMPASS,22813.848021451868,1931.5134718794625,0.572148,"[-8.10999478e+02  6.43217518e-02  2.12861033e-01  1.40911185e-01
  3.13551736e-01  9.93731636e-01]"
38,PSO,NLOPT-BOBYQA,20637.25157557158,1721.9030733193654,0.550334,"[-1.02702435e+03  2.33847786e-01  1.61610224e-01  1.16867048e-01
  3.17122180e-01  9.98993149e-01]"
39,PSO,NLOPT-PRAXIS,15827.04876398356,1937.827189741041,0.887364,"[-8.10619188e+02  1.49578267e-01  1.28516853e-01  1.50124540e-01
  2.76557818e-01  9.98760175e-01]"
40,PSO,NLOPT-COBYLA,28548.43301398225,1770.6361336572986,0.520709,"[-9.11744164e+02  1.64762695e-01  6.89637320e-02  6.66210122e-02
  2.67439636e-01  9.53755228e-01]"
41,PSO,NLOPT-SLSQP,28050.0124582505,1397.6119622067054,0.576308,"[-9.90186211e+02  8.40935469e-02  1.00000000e-03  2.25820184e-01
  2.67033772e-01  7.46326251e-01]"
42,PSO,NLOPT-MMA,22477.135175580544,1298.7238229643765,1.032815,"[-1.06227002e+03  1.07084927e-01  2.23661393e-03  7.20729844e-02
  2.85357836e-01  7.60567221e-01]"
43,GPSO,COMPASS,7151.891833603605,1916.4561394763832,73.989962,"[-7.81490106e+02  6.95420397e-02  1.57589167e-01  2.43807214e-02
  2.51154029e-01  9.66945865e-01]"
44,GPSO,NLOPT-BOBYQA,7091.7276659186045,1951.5944808247068,70.331801,"[-7.82110459e+02  6.98565886e-02  1.57965169e-01  2.40439156e-02
  2.52467451e-01  9.89629901e-01]"
45,GPSO,NLOPT-PRAXIS,7261.912355696179,1974.528150599036,70.136697,"[-7.73522872e+02  6.67999892e-02  1.56703683e-01  2.45509160e-02
  2.54202086e-01  9.98762078e-01]"
46,GPSO,NLOPT-COBYLA,7044.226771245098,1971.6961756530836,57.69131,"[-7.75164244e+02  6.74088000e-02  1.56921565e-01  2.44391538e-02
  2.52522431e-01  9.98008744e-01]"
47,GPSO,NLOPT-SLSQP,7029.652251393037,1968.310179865116,68.103702,"[-7.80087310e+02  6.91497829e-02  1.57056080e-01  2.46740897e-02
  2.52998819e-01  9.98980661e-01]"
48,GPSO,NLOPT-MMA,7066.24249043389,1953.3954788812857,77.189633,"[-7.79792764e+02  6.90243531e-02  1.57382538e-01  2.43925574e-02
  2.52344785e-01  9.89315968e-01]"
49,SEA,COMPASS,49541.580483803606,1701.9240132532123,0.372249,"[-7.73073415e+02  1.45160049e-01  1.53370698e-01  1.73386284e-01
  2.94734664e-01  7.62987741e-01]"
50,SEA,NLOPT-BOBYQA,33897.263713894536,1878.377699061975,0.473379,"[-8.30186467e+02  2.42252463e-01  2.08721778e-02  1.49073882e-01
  3.01896220e-01  9.65812478e-01]"
51,SEA,NLOPT-PRAXIS,47247.4670102521,1771.0071836299867,0.665241,"[-8.46493011e+02  5.40607856e-02  2.82459811e-01  2.02216405e-01
  2.81714989e-01  8.76122857e-01]"
52,SEA,NLOPT-COBYLA,18232.885630660097,2015.0161628761753,0.457595,"[-7.32898420e+02  5.36161905e-02  1.18092331e-01  2.15679947e-01
  2.72441222e-01  9.98407761e-01]"
53,SEA,NLOPT-SLSQP,54533.61372277887,1456.3992720254064,0.404888,"[-1.00717119e+03  7.93066531e-02  2.68805317e-01  1.46805010e-01
  2.27653019e-01  7.65211769e-01]"
54,SEA,NLOPT-MMA,24996.033481609127,1853.718662006605,0.672155,"[-8.27756571e+02  6.54155344e-02  1.44811131e-01  5.60507398e-02
  2.58646630e-01  9.55448702e-01]"
55,SGA,COMPASS,28112.516468086233,1943.2383180933434,0.512827,"[-7.65524044e+02  4.44689821e-02  1.96921814e-01  1.37974812e-01
  2.91859823e-01  9.67987523e-01]"
56,SGA,NLOPT-BOBYQA,22111.567933765094,1692.386229845505,0.633339,"[-8.84634790e+02  5.35471659e-02  1.90751197e-01  2.15333474e-01
  2.82896668e-01  8.54047099e-01]"
57,SGA,NLOPT-PRAXIS,32297.849802614794,1629.4755778279716,0.596473,"[-1.07274390e+03  1.09346088e-01  5.06413123e-02  3.77897824e-01
  2.94446405e-01  9.53184772e-01]"
58,SGA,NLOPT-COBYLA,26113.1434868661,1584.537202123809,0.497758,"[-1.08069770e+03  1.83491427e-01  1.99538183e-01  1.68683330e-01
  3.58053152e-01  9.11627440e-01]"
59,SGA,NLOPT-SLSQP,21737.090911300198,1528.116843147646,0.593696,"[-9.55028241e+02  1.60249075e-01  1.89933468e-01  1.50302006e-01
  2.44684602e-01  7.77731253e-01]"
60,SGA,NLOPT-MMA,19905.59199409609,1818.5851255938246,0.835714,"[-9.15007805e+02  8.36806822e-02  1.64956123e-01  5.97419266e-02
  2.53427628e-01  9.88892324e-01]"
61,SA,COMPASS,9426.669122926578,1921.2556895521857,5.807799,"[-8.23325568e+02  6.86732270e-02  1.70901451e-01  2.84014397e-02
  2.56792378e-01  9.96466049e-01]"
62,SA,NLOPT-BOBYQA,10556.1899935285,1933.9984450727165,5.354175,"[-7.42934220e+02  4.89829518e-02  1.53041835e-01  3.15907783e-02
  2.48017824e-01  9.54702540e-01]"
63,SA,NLOPT-PRAXIS,13610.652106377354,1977.8279557971227,5.545556,"[-7.70491903e+02  3.67677315e-02  1.22634261e-01  2.23112919e-01
  2.78224899e-01  9.98710737e-01]"
64,SA,NLOPT-COBYLA,9971.768551555788,1807.8827953681862,5.046135,"[-7.93573050e+02  1.06903702e-01  1.39632140e-01  1.47689063e-02
  2.46072086e-01  9.05360492e-01]"
65,SA,NLOPT-SLSQP,7715.578679448387,1956.7801866083396,6.312411,"[-7.91161834e+02  7.02042590e-02  1.56485438e-01  2.82959217e-02
  2.54384089e-01  9.98683020e-01]"
66,SA,NLOPT-MMA,10328.316828397032,1772.202433348564,5.558409,"[-9.46496025e+02  1.60584192e-01  1.32721200e-01  3.08167327e-02
  2.66454255e-01  9.78008034e-01]"
67,ABC,COMPASS,26509.11901407659,1814.2406842947416,0.835479,"[-9.34092761e+02  7.92655519e-02  1.00000000e-03  5.36125643e-02
  3.03825761e-01  9.99000000e-01]"
68,ABC,NLOPT-BOBYQA,22500.894703753445,1436.823817252216,0.844782,"[-1.00753398e+03  1.04024427e-01  1.85375584e-01  2.44055567e-01
  2.67109465e-01  7.25148535e-01]"
69,ABC,NLOPT-PRAXIS,28941.09241810404,1972.1452117527529,0.715881,"[-7.76802846e+02  4.12946410e-02  4.06229526e-01  1.39723610e-01
  2.40196989e-01  9.98971945e-01]"
70,ABC,NLOPT-COBYLA,40946.267367388056,1454.373397101302,0.819436,"[-9.88358253e+02  1.73052706e-01  1.18240363e-01  5.27810837e-02
  3.03606145e-01  7.67698617e-01]"
71,ABC,NLOPT-SLSQP,31028.67358740219,1404.677861201894,0.817003,"[-9.47419631e+02  1.34574087e-01  1.00000000e-03  1.32156855e-01
  2.70642611e-01  7.35596637e-01]"
72,ABC,NLOPT-MMA,19115.247716937087,1537.9254361224394,1.113081,"[-8.23396495e+02  5.06784223e-02  1.81999803e-01  2.10649192e-01
  2.41970538e-01  6.95817351e-01]"
73,CMA-ES,COMPASS,107262.51456961426,1757.0840883532167,0.144339,"[-9.78196122e+02  2.56250402e-01  4.31518654e-02  4.64730083e-01
  3.82623130e-01  9.77239806e-01]"
74,CMA-ES,NLOPT-BOBYQA,29419.53288483033,1686.9020008999655,0.268898,"[-9.31263833e+02  2.12565473e-01  1.21925740e-01  1.50278576e-01
  2.81515966e-01  8.86432022e-01]"
75,CMA-ES,NLOPT-PRAXIS,105962.50472819163,1614.8369096678525,0.163335,"[-8.98410537e+02  1.30509677e-01  1.35375818e-01  2.04998606e-01
  3.76691077e-01  7.68900709e-01]"
76,CMA-ES,NLOPT-COBYLA,28317.93545489744,1428.8194511892602,0.488259,"[-1.03056719e+03  2.58829413e-01  6.67860386e-02  2.27710485e-01
  2.61885391e-01  7.31972390e-01]"
77,CMA-ES,NLOPT-SLSQP,77217.05165793942,1845.068957767124,0.148788,"[-8.91713017e+02  1.90836757e-01  9.43718312e-02  2.26822127e-02
  2.48596977e-01  9.91068198e-01]"
78,CMA-ES,NLOPT-MMA,25416.649995137366,1656.3186892086233,0.414558,"[-1.09267802e+03  3.54256128e-01  1.90592191e-02  1.64802807e-01
  3.10389510e-01  9.99000000e-01]"
79,xNES,COMPASS,113211.32423823021,1858.4265384416688,0.145196,"[-7.94698974e+02  2.47966228e-01  5.60705665e-02  3.12844652e-01
  3.90178129e-01  8.81575400e-01]"
80,xNES,NLOPT-BOBYQA,22904.263921925085,1627.2563674590883,0.266289,"[-1.05704309e+03  1.05676788e-01  4.73318127e-02  2.13825436e-01
  2.78702694e-01  9.50549941e-01]"
81,xNES,NLOPT-PRAXIS,88310.9612621012,1589.8152128848565,0.199789,"[-8.62992309e+02  3.34343355e-01  6.39867522e-03  2.26255823e-01
  1.75160051e-01  7.43978990e-01]"
82,xNES,NLOPT-COBYLA,23216.22743881639,1799.6216257457675,0.331758,"[-9.46180549e+02  1.39904783e-01  1.55341632e-01  2.19773639e-01
  2.79499537e-01  9.96262260e-01]"
83,xNES,NLOPT-SLSQP,114096.26373863389,1693.9498812992572,0.146771,"[-1.03091510e+03  1.78612322e-01  3.68476374e-01  2.78494880e-01
  5.17174655e-01  9.49419955e-01]"
