case_no,sequence,total_DV,DV_inter,DV_plan,t_depart,t_arrive,tof,t_inter,t_plan,champ_inter,champ_plan
1,EVVEEMVS,12080.448086724951,8473.42107539337,3607.027011331582,2032-Oct-20 08:22:04.694337,2043-Jun-03 23:41:19.142413,3878.6383616675553,3498.841975595473,379.7963860720826,"[11981.34866544371, 0.12116766653755745, 0.13620001868044793, 0.1363273423447241, 0.2881767150974116, 0.18696415514287937, 0.13905663751623146, 0.9989871973849579]","[1.6642507769202202, 0.4381523357908577, 379.7963860720826]"
2,EVEJS,4835.363039128543,1547.1531573148266,3288.2098818137165,2032-Jan-09 08:57:36.782446,2042-Sep-05 22:56:46.078138,3892.5827464779154,3487.835485462514,404.7472610154013,"[11696.373342389423, 0.2059439019850812, 0.360402923633249, 0.4514350430896729, 0.9875249865828702]","[1.7473304664349112, 0.45297149841095086, 404.7472610154013]"
3,EEEMMES,13858.917891653542,11223.969473328709,2634.9484183248333,2030-Jun-17 11:39:21.816066,2041-Jan-07 19:44:49.678282,3857.3371280349015,3478.4941189784095,378.8430090564922,"[11125.485669167432, 0.033716162401936284, 0.011749455114072736, 0.1016309395824885, 0.4325956099190188, 0.06407225117167208, 0.9865126193475259]","[1.6852653988917412, 0.4832885116263399, 378.8430090564922]"
4,EEMMVEVJS,16397.95950684165,12618.763594706685,3779.1959121349646,2032-May-13 07:44:12.423372,2042-Apr-15 11:48:26.330484,3624.1696054063973,3207.6768796493343,416.49272575706317,"[11821.322366011245, 0.09745056684691354, 0.06801859301115021, 0.12367121463884471, 0.08517261454764291, 0.1436978254111021, 0.026762680022313155, 0.3961388955382679, 0.7538908371765332]","[1.7647987454787801, 0.42425106023015924, 416.49272575706317]"
5,EEVVMMJS,15083.46335048478,12111.470903276419,2971.992447208362,2032-Aug-16 04:00:09.442227,2043-Mar-16 05:16:32.964816,3864.053050029963,3498.3043079896424,365.7487420403203,"[11916.166775951704, 0.20871807553636904, 0.06124913356138977, 0.24169639878672453, 0.11210578618274292, 0.061042777040742104, 0.44055306776784675, 0.9981558837894359]","[1.65, 0.47556492383913607, 365.7487420403203]"
6,EEVVVMS,10464.54068663255,7576.537879543555,2888.002807088995,2032-Mar-12 16:19:10.611220,2042-Oct-23 15:25:47.788041,3876.962930287272,3498.636548969609,378.32638131766277,"[11759.679983926162, 0.10436101295294872, 0.054390417162992505, 0.3458357946823204, 0.25597097104431116, 0.08115895884389929, 0.9989714874315273]","[1.6795689229116268, 0.47759641959480237, 378.32638131766277]"
7,EEEEEVEJS,7889.149515485278,5176.226327640583,2712.9231878446953,2032-Dec-18 04:02:25.966965,2043-Jul-21 20:43:23.631328,3867.695111856051,3498.9122371257745,368.7828747302767,"[12040.168356099137, 0.0010003906449457527, 0.1303819559212841, 0.0010002533997533947, 0.0010145338070574228, 0.14958013285369115, 0.30531070701279467, 0.4386003518193892, 0.9989191843116508]","[1.6511616076108238, 0.4699392755608027, 368.7828747302767]"
8,EMMEVVS,8970.022225191304,6391.167587378142,2578.8546378131614,2032-Dec-30 12:19:18.250512,2043-Aug-06 17:49:51.419230,3871.2295505638644,3497.5895982882494,373.63995227561526,"[12052.513405677228, 0.07712167772309401, 0.21259270390809254, 0.09000346138501455, 0.0889737344440821, 0.18666015723526472, 0.9985944871606409]","[1.6704205042868878, 0.4849766909393671, 373.63995227561526]"
9,EMMEVVEJS,13557.18673492268,6906.531473198911,6650.6552617237685,2031-Jan-05 05:37:33.273479,2041-Sep-20 10:38:10.315913,3911.2087620652073,3494.909574557286,416.2991875079214,"[11327.234412887488, 0.08357581558469855, 0.10392504914398958, 0.09520978301892587, 0.18472565586143477, 0.2974123141783807, 0.3203727038433725, 0.4716640482756056, 0.9904827391046003]","[1.65, 0.2858540914766649, 416.2991875079214]"
10,EMVMMMMS,17487.76094985385,15093.045925574177,2394.7150242796743,2031-Feb-07 04:53:28.136539,2041-Nov-22 20:42:18.043304,3941.6589109579304,3497.6757148287097,443.98319612922086,"[11360.203797876606, 0.04222316810374096, 0.2428006709635247, 0.24378085228539537, 0.06902494172018071, 0.023746504787100116, 0.004083917670573003, 0.9986622475462028]","[1.85, 0.433234040299473, 443.98319612922086]"
11,EVMMJS,6939.193846298335,3778.4487894065373,3160.745056891798,2032-May-19 14:20:58.462466,2043-Feb-28 08:09:27.834161,3936.7420066168384,3499.0959749700405,437.6460316467979,"[11827.597898871132, 0.1802262553185412, 0.04096311726389878, 0.36904292145286177, 0.47931125286908327, 0.998999988286053]","[1.8458764930921685, 0.4567096336113913, 437.6460316467979]"
