case_no,sequence,total_DV,t_depart,t_arrive,tof,t_phases,champ_inter,champ_plan
1,EEEEEES,234588.41931861526,10707.044534438566,16029.491209289488,5322.446674850922,"[5254.147052406425, 68.29962244449712]","[10707.044534438566, 0.9457030174701103, 0.8616382855778146, 1664.0854112122136, 0.7779480386714086, 942.5663548164927, -0.710872729157165, 9.235535920386797, 0.40723474829115464, 118.19383686624327, -2.0750581539223028, 3.6984243591047363, 0.1159502225267185, 1127.6256712213672, -2.724657888583412, 3.404098809134967, 0.3633847695202723, 1134.510387922855, 2.1648985096637734, 3.4267094143548005, 0.17555198565159638, 1091.855163237895, -5.837498644323875, 5.361349583001319, 0.773097753136912, 839.395638341572]","[12.045595349885316, 0.33420177673311996, 0.4388117809699662, 68.29962244449712]"
2,EEEEEJES,194196.63127425767,8195.440704822118,13462.296690227566,5266.855985405447,"[5252.15266757357, 14.70331783187664]","[8195.440704822118, 0.678141610437311, 0.4434941693412666, 1567.2211941983524, 0.7008600707890137, 506.5171508648873, -0.8005460474670798, 9.115643038155394, 0.17187288811212956, 646.5453549711443, 1.3192289971552356, 1.207234505867211, 0.2938844464707218, 967.27806038192, -5.611685935047402, 7.032053738746145, 0.06089973268901932, 154.1526597304606, -2.064715384907916, 5.718486574088788, 0.24850316698895453, 1014.4795321405732, 0.11028458562823751, 1.5879635958233504, 0.463712274412838, 1052.1395653797038, -2.1321908097716245, 5.161641562129299, 0.33543243011472035, 911.0403441048812]","[8.753861424322299, 0.7420999463824419, 0.23148460791336842, 14.70331783187664]"
3,EEEEEEVS,93354.6905763813,9908.676083096016,16317.707383789837,6409.031300693821,"[6352.91480003857, 56.11650065525098]","[9908.676083096016, 0.2753716217482745, 0.6855897138188598, 3980.8674494834313, 0.6900406233444717, 798.3265318538548, 2.142405262827282, 9.933113866666037, 0.6771074596898394, 1149.8160616892226, -3.3166837118067285, 6.746282145607763, 0.6489090729691837, 1132.6175828709406, -3.5018944987476095, 5.952848008621114, 0.09061300973733946, 106.20206083238446, 1.0277035161044878, 4.422970806201411, 0.08315084590573114, 339.62166614406965, 5.135194666760279, 4.21926676260908, 0.10133439224113086, 1335.8001646300977, 2.1584336753392463, 4.32718035454483, 0.09201067130542073, 1490.5307320179998]","[13.191646162754552, 0.4143318478388134, 0.16447923858100846, 56.11650065525098]"
