case_no,global_algo,local_algo,DV_Glob,tof_Glob,DV,tof,champion
66,SA,NLOPT-MMA,7978.020235025941,2168.600754467998,7972.071837032686,2168.6104655886747,"[-7.37638348e+02  9.45082009e-01  5.69812424e-01  4.72697430e+03
  5.34949460e-01  3.53548962e-02 -1.46984317e+00  9.25761315e+00
  6.09676852e-01  1.35980151e-01  4.53733589e+00  1.10000000e+00
  1.00443160e-02  1.70911458e-01  4.64575533e+00  2.82928111e+02
  2.98584721e-02  4.49515750e-01]"
67,ABC,COMPASS,40909.18623557981,3498.32996531301,24608.785731602973,3498.32996531301,"[-7.52897182e+02  1.00000000e+00  9.98493978e-02  5.00000000e+03
  5.86404260e-01  2.28890917e-01 -3.54322322e+00  1.49984424e+01
  4.58346302e-02  2.27827789e-01 -6.79253752e-01  1.89243768e+02
  1.00000000e-02  1.98640370e-01  4.62503919e-01  1.90929483e+02
  1.25643906e-01  9.99000000e-01]"
68,ABC,NLOPT-BOBYQA,44172.455268362726,3497.8255269507113,16589.812930316257,3495.2143568440665,"[-7.67028475e+02  7.71634037e-01  1.96538244e-01  2.68779563e+03
  2.79992271e-01  5.51746371e-02 -1.91728915e+00  7.77260310e+01
  6.85125513e-02  1.10337107e-01 -6.28318531e+00  1.10000000e+00
  2.45576035e-02  2.31285682e-01  4.00222482e+00  5.41837938e+01
  4.21523908e-01  9.97883929e-01]"
69,ABC,NLOPT-PRAXIS,28273.830850773033,2521.708353723744,22548.075533985964,2689.591885947252,"[-8.16219848e+02  6.65063201e-01  2.83909568e-01  4.30523597e+03
  1.61565605e-01  3.12279486e-02  2.82868010e+00  1.63238162e+02
  9.12708099e-01  1.86971498e-01 -6.05809523e+00  1.48005633e+02
  3.30034064e-01  2.48875657e-01  7.61947264e-01  1.18918319e+02
  1.00087775e-02  6.08621894e-01]"
70,ABC,NLOPT-COBYLA,32375.692209847355,3014.080294465658,15847.263760708836,3177.1295518809393,"[-9.14343588e+02  9.62472583e-01  5.28487297e-01  3.84278593e+03
  6.81452784e-01  1.45862688e-01 -6.15969385e+00  2.66867413e+02
  4.14375828e-01  1.93228026e-01 -2.29896300e+00  2.20435551e+02
  9.08495234e-02  2.32048339e-01  6.19193641e+00  2.16194982e+02
  1.64773986e-01  8.25679738e-01]"
71,ABC,NLOPT-SLSQP,24299.689883954765,3249.993157751298,24299.689883954765,3249.993157751298,"[-1.09201249e+03  5.49292183e-01  6.17491064e-01  4.45796447e+03
  6.67048594e-01  2.85771462e-01 -4.92691916e+00  9.15674807e+00
  6.43375533e-01  1.10262112e-01  6.03382643e+00  1.19519979e+02
  4.97317820e-02  2.35574894e-01 -9.23323403e-01  1.75778860e+02
  8.03774564e-02  8.52955216e-01]"
72,ABC,NLOPT-MMA,FAILED,,,,
73,CMA-ES,COMPASS,FAILED,,,,
74,CMA-ES,NLOPT-BOBYQA,FAILED,,,,
75,CMA-ES,NLOPT-PRAXIS,FAILED,,,,
76,CMA-ES,NLOPT-COBYLA,FAILED,,,,
77,CMA-ES,NLOPT-SLSQP,FAILED,,,,
78,CMA-ES,NLOPT-MMA,FAILED,,,,
79,xNES,COMPASS,FAILED,,,,
80,xNES,NLOPT-BOBYQA,FAILED,,,,
81,xNES,NLOPT-PRAXIS,FAILED,,,,
82,xNES,NLOPT-COBYLA,FAILED,,,,
83,xNES,NLOPT-SLSQP,FAILED,,,,
84,xNES,NLOPT-MMA,FAILED,,,,
85,NSGA2,COMPASS,FAILED,,,,
86,NSGA2,NLOPT-BOBYQA,FAILED,,,,
87,NSGA2,NLOPT-PRAXIS,FAILED,,,,
88,NSGA2,NLOPT-COBYLA,FAILED,,,,
89,NSGA2,NLOPT-SLSQP,FAILED,,,,
90,NSGA2,NLOPT-MMA,FAILED,,,,
91,MOEA/D,COMPASS,FAILED,,,,
92,MOEA/D,NLOPT-BOBYQA,FAILED,,,,
93,MOEA/D,NLOPT-PRAXIS,FAILED,,,,
94,MOEA/D,NLOPT-COBYLA,FAILED,,,,
95,MOEA/D,NLOPT-SLSQP,FAILED,,,,
96,MOEA/D,NLOPT-MMA,FAILED,,,,
97,MHACO,COMPASS,FAILED,,,,
98,MHACO,NLOPT-BOBYQA,FAILED,,,,
99,MHACO,NLOPT-PRAXIS,FAILED,,,,
100,MHACO,NLOPT-COBYLA,FAILED,,,,
101,MHACO,NLOPT-SLSQP,FAILED,,,,
102,MHACO,NLOPT-MMA,FAILED,,,,
103,NSPSO,COMPASS,FAILED,,,,
104,NSPSO,NLOPT-BOBYQA,FAILED,,,,
105,NSPSO,NLOPT-PRAXIS,FAILED,,,,
106,NSPSO,NLOPT-COBYLA,FAILED,,,,
107,NSPSO,NLOPT-SLSQP,FAILED,,,,
108,NSPSO,NLOPT-MMA,FAILED,,,,
25,GWO,COMPASS,2903.452524926834,3421.1732413841914,2903.4499669057736,3421.1732413841914,"[-7.32207201e+02  7.70246473e-03  3.15473769e-01  4.30193098e+03
  1.00000000e-02  4.76512325e-02 -1.53965970e+00  1.10018181e+00
  1.31663647e-02  2.19178926e-01  4.42587367e+00  1.10003214e+00
  1.49749980e-02  2.17652523e-01 -1.35584234e+00  2.64227046e+02
  1.23594699e-02  9.61286861e-01]"
13,GACO,COMPASS,2771.975364718694,3217.3535785269896,2771.973267571888,3217.3535785269896,"[-8.47537312e+02  8.63413629e-01  5.25297326e-01  5.00000000e+03
  2.58295969e-01  6.12099274e-02 -1.26696117e+00  1.52926698e+00
  8.71864574e-01  1.50002244e-01  4.70815339e+00  1.10000041e+00
  1.00007060e-02  2.03914234e-01 -1.52112491e+00  8.92449320e+01
  1.64789553e-02  8.72875481e-01]"
