case_no,global_algo,local_algo,DV_Glob,tof_Glob,DV,tof,champion
34,IHS,NLOPT-COBYLA,56284.70525248862,2689.1610297660195,10289.453801808973,3498.165423343142,"[-9.67597270e+02  1.00000000e+00  5.04592091e-01  4.58518911e+03
  7.13456259e-01  1.62360458e-01 -3.34301342e-01  5.50870077e+01
  9.29810817e-02  1.69739499e-01 -2.70171765e+00  2.19217078e+02
  1.57049243e-01  2.46303895e-01  4.89939259e+00  2.61366660e+02
  8.58475327e-02  9.99000000e-01]"
35,IHS,NLOPT-SLSQP,27658.41162980324,3147.5556397985847,27658.41162980324,3147.5556397985847,"[-1.04847907e+03  8.43324828e-01  7.66241586e-01  2.32141117e+03
  4.57131588e-01  9.21547734e-02 -4.96262659e+00  1.49388164e+02
  2.34129806e-01  1.84988285e-01 -2.25266456e+00  1.69791224e+02
  4.69846723e-01  3.41619280e-01 -9.84040562e-02  2.85360867e+02
  3.62529293e-02  7.93286067e-01]"
36,IHS,NLOPT-MMA,FAILED,,,,
37,PSO,COMPASS,32014.484147805382,2737.7076799336746,28971.648366990707,2737.7076799336746,"[-1.09500000e+03  7.75583117e-01  6.58623049e-01  4.75836455e+03
  3.90406825e-02  1.25591599e-01  5.53722604e+00  5.24525162e+01
  2.17543774e-01  2.84227943e-01 -5.54242039e+00  2.21570330e+02
  1.35721680e-01  1.99688543e-01  1.91564066e+00  2.79060529e+02
  1.70979093e-01  5.65184112e-01]"
38,PSO,NLOPT-BOBYQA,27650.127641175648,2767.8133381475423,13720.68871621746,2459.2253665536173,"[-1.07158149e+03  1.05742719e-03  3.94881810e-01  3.79039548e+03
  1.05452139e-01  1.30609830e-01 -6.35796461e-01  1.36886648e+02
  2.89313849e-01  1.16238127e-01  5.81333203e+00  2.62045203e+02
  8.94564425e-02  2.14472931e-01 -1.59943683e+00  1.48895808e+02
  3.40423157e-02  5.07305729e-01]"
39,PSO,NLOPT-PRAXIS,37689.053390685454,3093.4424983562994,15432.83337130446,3145.3458408564875,"[-8.92167070e+02  2.99371803e-01  7.40929129e-01  3.86974732e+03
  8.00523169e-01  2.03218424e-01 -1.06618606e+00  2.58500217e+02
  2.31304017e-01  9.84760388e-02  2.95270434e-01  4.88331049e+01
  1.21422910e-01  2.27821706e-01  3.45318996e+00  1.82942912e+02
  8.35745110e-02  8.17315010e-01]"
40,PSO,NLOPT-COBYLA,37796.135064317394,2513.6926319173645,16137.549332082757,3067.6774530894836,"[-8.58516784e+02  7.86283770e-02  4.67383984e-01  4.18280034e+03
  7.27552559e-01  1.35818502e-01 -1.95128638e+00  2.65376528e+02
  8.63385367e-01  1.69039452e-01 -2.09070728e+00  1.38292105e+02
  2.51517335e-01  2.28213222e-01  1.44471375e+00  1.73915330e+02
  1.69541433e-01  7.77127164e-01]"
41,PSO,NLOPT-SLSQP,33800.48670460847,3392.155641609377,33800.48670460847,3392.155641609377,"[-8.59509204e+02  7.62579689e-01  2.37611879e-01  4.31396775e+03
  7.34367345e-01  8.13743176e-02  1.81471367e+00  1.89124318e+02
  2.87702838e-01  2.45997507e-01 -2.38468611e+00  1.81502901e+02
  3.35024858e-01  3.09451888e-01 -4.55433114e+00  6.48625073e+01
  2.31851187e-01  9.35579502e-01]"
42,PSO,NLOPT-MMA,FAILED,,,,
3,SADE,NLOPT-PRAXIS,3819.792039632342,3474.729900182372,3703.6590508838917,3475.6492601688788,"[-8.72881176e+02  8.12663076e-01  6.13038925e-01  4.93099571e+03
  1.93271610e-01  6.30725789e-02 -1.18656553e+00  3.10527969e+00
  3.76759381e-02  1.52935454e-01  4.78137213e+00  1.13039918e+00
  1.09382955e-02  2.14554009e-01  4.75678851e+00  8.27170492e+01
  1.04779887e-02  9.88838943e-01]"
6,SADE,NLOPT-MMA,3965.1261150747837,3488.595076582589,3959.665664528398,3488.5960390902214,"[-8.27805886e+02  8.59517470e-01  8.05961545e-01  4.20688700e+03
  5.92432285e-01  4.83578939e-02  5.09314679e+00  3.29646035e+00
  6.35206146e-02  1.52963031e-01  4.80657467e+00  1.10156299e+00
  1.53136546e-02  2.12977811e-01  4.71169775e+00  8.06923296e+01
  4.38364373e-02  9.94864004e-01]"
5,SADE,NLOPT-SLSQP,3964.5996541138793,3382.082580845945,3964.5996541138793,3382.082580845945,"[-8.54203338e+02  8.44996647e-01  5.97590144e-01  4.86391735e+03
  6.93068898e-01  5.93337039e-02 -1.40663882e+00  4.38113577e+00
  2.52921533e-02  1.50508313e-01  4.71797764e+00  1.12299299e+00
  3.64004276e-02  2.11492887e-01 -1.53876508e+00  9.09408299e+01
  1.00000000e-02  9.46530073e-01]"
4,SADE,NLOPT-COBYLA,3202.8667823566557,3138.54512613727,3038.9809363795393,3138.060165373279,"[-1.05889141e+03  4.49695117e-02  4.11592325e-01  4.51877361e+03
  1.56138796e-01  2.46310980e-01  4.53681950e+00  1.26916788e+00
  1.54839103e-02  2.26022299e-02  4.75870034e+00  1.15002092e+00
  2.37127493e-01  2.10774430e-01 -1.54729381e+00  1.12698492e+02
  1.00000000e-02  8.22129609e-01]"
15,GACO,NLOPT-PRAXIS,2211.409550691804,2785.9169982704516,2211.4061685563784,2785.9170224555364,"[-1.06455504e+03  5.39624004e-02  4.00287888e-01  4.36915623e+03
  3.27933608e-02  2.47213870e-01  4.53042766e+00  1.10000073e+00
  1.04594668e-02  2.35875258e-02 -1.49551301e+00  1.10000000e+00
  1.00071076e-02  1.99284370e-01  4.72855845e+00  1.45293079e+02
  1.42431214e-02  6.53345053e-01]"
1,SADE,COMPASS,3460.1302917856647,3484.794903798319,3065.4989213383164,3484.794903798319,"[-1.07340083e+03  9.71644564e-02  4.02973809e-01  4.04275786e+03
  9.47732797e-01  2.50471252e-01 -1.77209518e+00  1.10000000e+00
  1.90413948e-02  2.28152824e-02  4.69272749e+00  1.38273901e+00
  1.18749743e-01  2.22754809e-01 -1.55585855e+00  8.82582877e+01
  5.22183040e-02  9.92368707e-01]"
49,SEA,COMPASS,52128.02470322983,3092.498749162164,34488.045999222726,3092.498749162164,"[-9.34413801e+02  9.56664483e-01  4.70425025e-01  4.02400647e+03
  5.27190018e-01  1.47806295e-01 -6.28939206e-01  2.25647684e+02
  5.57490045e-01  1.90226579e-01  2.42637311e+00  2.68686712e+01
  3.78422445e-01  2.19063066e-01 -3.07098938e+00  1.39075492e+02
  2.78312405e-01  7.83955558e-01]"
50,SEA,NLOPT-BOBYQA,58319.05909129555,3140.8714806142084,11108.435228495991,2377.627635212754,"[-7.31000032e+02  8.66129591e-01  4.71414731e-01  4.38433908e+03
  2.03973667e-01  1.57311579e-01 -1.72062447e+00  8.33686489e+01
  2.17756569e-01  1.64112361e-02  4.64697119e+00  9.64648179e+00
  7.48476923e-02  1.73747606e-01  4.74378908e+00  2.15884301e+02
  1.00005888e-02  5.31752352e-01]"
